resolution,frame_no,pts,codec,source_width,source_height,decode_ms,push_block_ms,app_to_dec_ms,dec_to_conv_ms,conv_to_sink_ms,display_ms,frame_interval_ms,queue_depth,decoded_at
1920x1080,1,0,H.265,1920,1080,159.305,0.009504,-1,-1,-1,21.0284,-1,16,2026-08-04 17:56:57
1920x1080,2,40000000,H.265,1920,1080,189.856,0.017632,-1,-1,-1,12.0356,30.7552,16,2026-08-04 17:56:57
1920x1080,3,80000000,H.265,1920,1080,208.372,0.017632,-1,-1,-1,11.768,18.5747,15,2026-08-04 17:56:57
1920x1080,4,120000000,H.265,1920,1080,227.565,0.019201,-1,-1,-1,14.4599,19.2214,15,2026-08-04 17:56:57
1920x1080,5,160000000,H.265,1920,1080,249.152,0.019905,-1,-1,-1,12.0615,21.6129,15,2026-08-04 17:56:57
1920x1080,6,200000000,H.265,1920,1080,268.202,0.019905,-1,-1,-1,10.1958,19.0725,14,2026-08-04 17:56:57
1920x1080,7,240000000,H.265,1920,1080,285.625,0.019905,-1,-1,-1,12.1518,17.4684,13,2026-08-04 17:56:57
1920x1080,8,280000000,H.265,1920,1080,304.218,0.015361,-1,-1,-1,9.84994,18.6229,13,2026-08-04 17:56:57
1920x1080,9,320000000,H.265,1920,1080,319.581,0.015361,-1,-1,-1,11.1275,17.4481,12,2026-08-04 17:56:57
1920x1080,10,360000000,H.265,1920,1080,336.673,0.021696,-1,-1,-1,12.0258,17.7445,12,2026-08-04 17:56:57
1920x1080,11,400000000,H.265,1920,1080,355.757,0.021696,-1,-1,-1,16.032,19.1457,11,2026-08-04 17:56:57
1920x1080,12,440000000,H.265,1920,1080,378.141,0.018785,-1,-1,-1,12.3321,22.4767,11,2026-08-04 17:56:57
1920x1080,13,480000000,H.265,1920,1080,398.737,0.018785,-1,-1,-1,10.5138,20.6524,10,2026-08-04 17:56:57
1920x1080,14,520000000,H.265,1920,1080,406.535,0.017792,-1,-1,-1,11.2262,17.7948,10,2026-08-04 17:56:57
1920x1080,15,560000000,H.265,1920,1080,384.427,0.017792,-1,-1,-1,9.85027,18.6356,9,2026-08-04 17:56:57
1920x1080,16,600000000,H.265,1920,1080,362.048,0.014784,-1,-1,-1,10.5118,17.3652,9,2026-08-04 17:56:57
1920x1080,17,640000000,H.265,1920,1080,347.569,0.014784,-1,-1,-1,11.1808,19.0898,8,2026-08-04 17:56:57
1920x1080,18,680000000,H.265,1920,1080,325.44,0.017185,-1,-1,-1,14.826,17.846,8,2026-08-04 17:56:58
1920x1080,19,720000000,H.265,1920,1080,305.802,0.017185,-1,-1,-1,15.1492,22.4006,7,2026-08-04 17:56:58
1920x1080,20,760000000,H.265,1920,1080,289.036,0.028864,-1,-1,-1,17.7026,22.4529,7,2026-08-04 17:56:58
